,name,stars,img,owner,repo_name
0,pytorch/pytorch,89578,https://avatars.githubusercontent.com/u/21003710?s=40&v=4,pytorch,pytorch
1,python/cpython,66663,https://avatars.githubusercontent.com/u/1525981?s=40&v=4,python,cpython
2,astral-sh/uv,52034,https://avatars.githubusercontent.com/u/115962839?s=40&v=4,astral-sh,uv
3,vllm-project/vllm,46341,https://avatars.githubusercontent.com/u/136984999?s=40&v=4,vllm-project,vllm
4,pandas-dev/pandas,45287,https://avatars.githubusercontent.com/u/21206976?s=40&v=4,pandas-dev,pandas
5,streamlit/streamlit,39121,https://avatars.githubusercontent.com/u/45109972?s=40&v=4,streamlit,streamlit
6,gradio-app/gradio,37777,https://avatars.githubusercontent.com/u/51063788?s=40&v=4,gradio-app,gradio
7,pola-rs/polars,33367,https://avatars.githubusercontent.com/u/83768144?s=40&v=4,pola-rs,polars
8,jax-ml/jax,32089,https://avatars.githubusercontent.com/u/58486408?s=40&v=4,jax-ml,jax
9,explosion/spaCy,31491,https://avatars.githubusercontent.com/u/20011530?s=40&v=4,explosion,spaCy
10,servo/servo,30280,https://avatars.githubusercontent.com/u/2566135?s=40&v=4,servo,servo
11,numpy/numpy,29386,https://avatars.githubusercontent.com/u/288276?s=40&v=4,numpy,numpy
12,dragonflydb/dragonfly,27821,https://avatars.githubusercontent.com/u/104819355?s=40&v=4,dragonflydb,dragonfly
13,google/python-fire,27607,https://avatars.githubusercontent.com/u/1342004?s=40&v=4,google,python-fire
14,qdrant/qdrant,23293,https://avatars.githubusercontent.com/u/73504361?s=40&v=4,qdrant,qdrant
15,PaddlePaddle/Paddle,22726,https://avatars.githubusercontent.com/u/23534030?s=40&v=4,PaddlePaddle,Paddle
16,chroma-core/chroma,19592,https://avatars.githubusercontent.com/u/105881770?s=40&v=4,chroma-core,chroma
17,airbytehq/airbyte,18022,https://avatars.githubusercontent.com/u/59758427?s=40&v=4,airbytehq,airbyte
18,liguodongiot/llm-action,17006,https://avatars.githubusercontent.com/u/13220186?s=40&v=4,liguodongiot,llm-action
19,microsoft/onnxruntime,16445,https://avatars.githubusercontent.com/u/6154722?s=40&v=4,microsoft,onnxruntime
20,apache/arrow,15312,https://avatars.githubusercontent.com/u/47359?s=40&v=4,apache,arrow
21,ivy-llc/ivy,14193,https://avatars.githubusercontent.com/u/165023508?s=40&v=4,ivy-llc,ivy
22,scipy/scipy,13607,https://avatars.githubusercontent.com/u/288277?s=40&v=4,scipy,scipy
23,sympy/sympy,13582,https://avatars.githubusercontent.com/u/260832?s=40&v=4,sympy,sympy
24,pyodide/pyodide,13118,https://avatars.githubusercontent.com/u/77002075?s=40&v=4,pyodide,pyodide
25,aws/chalice,10839,https://avatars.githubusercontent.com/u/2232217?s=40&v=4,aws,chalice
26,dbt-labs/dbt-core,10741,https://avatars.githubusercontent.com/u/18339788?s=40&v=4,dbt-labs,dbt-core
27,redcanaryco/atomic-red-team,10502,https://avatars.githubusercontent.com/u/6877001?s=40&v=4,redcanaryco,atomic-red-team
28,cleanlab/cleanlab,10497,https://avatars.githubusercontent.com/u/90712480?s=40&v=4,cleanlab,cleanlab
29,aws/amazon-sagemaker-examples,10470,https://avatars.githubusercontent.com/u/2232217?s=40&v=4,aws,amazon-sagemaker-examples
30,redpanda-data/redpanda,10273,https://avatars.githubusercontent.com/u/49406389?s=40&v=4,redpanda-data,redpanda
31,qutebrowser/qutebrowser,10243,https://avatars.githubusercontent.com/u/21955151?s=40&v=4,qutebrowser,qutebrowser
32,twitter/the-algorithm-ml,10233,https://avatars.githubusercontent.com/u/50278?s=40&v=4,twitter,the-algorithm-ml
33,wandb/wandb,9820,https://avatars.githubusercontent.com/u/26401354?s=40&v=4,wandb,wandb
34,esphome/esphome,9240,https://avatars.githubusercontent.com/u/45919759?s=40&v=4,esphome,esphome
35,sqlfluff/sqlfluff,8817,https://avatars.githubusercontent.com/u/71874918?s=40&v=4,sqlfluff,sqlfluff
36,squeaky-pl/japronto,8593,https://avatars.githubusercontent.com/u/754356?s=40&v=4,squeaky-pl,japronto
37,WebKit/WebKit,8572,https://avatars.githubusercontent.com/u/6458?s=40&v=4,WebKit,WebKit
38,apache/beam,8083,https://avatars.githubusercontent.com/u/47359?s=40&v=4,apache,beam
39,HypothesisWorks/hypothesis,7822,https://avatars.githubusercontent.com/u/18481919?s=40&v=4,HypothesisWorks,hypothesis
40,PaddlePaddle/Paddle-Lite,7074,https://avatars.githubusercontent.com/u/23534030?s=40&v=4,PaddlePaddle,Paddle-Lite
41,pyca/cryptography,6998,https://avatars.githubusercontent.com/u/5615737?s=40&v=4,pyca,cryptography
42,conda/conda,6860,https://avatars.githubusercontent.com/u/6392739?s=40&v=4,conda,conda
43,ijl/orjson,6849,https://avatars.githubusercontent.com/u/1977222?s=40&v=4,ijl,orjson
44,telepresenceio/telepresence,6793,https://avatars.githubusercontent.com/u/39375975?s=40&v=4,telepresenceio,telepresence
45,robinhood/faust,6787,https://avatars.githubusercontent.com/u/18473991?s=40&v=4,robinhood,faust
46,MikeMcl/decimal.js,6752,https://avatars.githubusercontent.com/u/921201?s=40&v=4,MikeMcl,decimal.js
47,jarun/buku,6693,https://avatars.githubusercontent.com/u/5959286?s=40&v=4,jarun,buku
48,litestar-org/litestar,6527,https://avatars.githubusercontent.com/u/97250344?s=40&v=4,litestar-org,litestar
